id,x,y
IMG4287_3,28.11932192,-73.01728035
IMG4288_5,89.21932192,-35.11728035
IMG4289_5,78.41932192,-41.81728035
IMG4290_4,-32.88067808,18.28271965
IMG4291_5,-87.08067808,128.4827196
IMG4292_3,6.019321918,23.28271965
IMG4293_3,-68.58067808,97.88271965
IMG4294_1,48.71932192,-16.11728035
IMG4295_1,-3.780678081,-65.91728035
IMG4296_1,-158.0806781,17.58271965
IMG4297_4,12.71932192,-70.21728035
IMG4298_1,28.21932192,-12.31728035
IMG4299_3,16.61932192,-37.11728035
IMG4300_5,39.41932192,-14.41728035
IMG4301_3,12.71932192,-75.31728035
IMG4302_2,51.81932192,-66.71728035
IMG4303_2,28.11932192,-73.01728035
IMG4304_5,39.81932192,4.18271965
IMG4305_5,34.51932192,6.282719649
IMG4306_4,33.71932192,6.18271965
IMG4307_4,17.51932192,-70.61728035
IMG4308_3,60.41932192,-55.11728035
IMG4309_1,-26.28067808,15.08271965
IMG4310_4,16.41932192,-0.31728035
IMG4311_4,39.41932192,6.48271965
IMG4312_2,47.31932192,-20.21728035
IMG4313_3,3.019321919,25.58271965
IMG4314_5,-140.7806781,82.48271965
IMG4315_5,10.01932192,34.28271965
IMG4316_2,-90.08067808,19.38271965
IMG4317_2,47.81932192,-61.01728035
IMG4318_2,32.91932192,-27.81728035
IMG4319_2,-97.08067808,33.78271965
IMG4320_2,61.41932192,-65.41728035
IMG4321_5,-49.08067808,9.18271965
IMG4322_4,-40.08067808,19.98271965
IMG4323_2,38.01932192,-74.21728035
IMG4324_5,31.41932192,-24.11728035
IMG4325_4,-135.8806781,100.1827196
IMG4326_5,11.51932192,15.88271965
IMG4327_4,5.719321918,-67.41728035
IMG4328_4,-141.0806781,62.28271965
IMG4329_1,-2.880678082,-45.01728035
IMG4330_4,40.51932192,5.18271965
IMG4331_2,39.51932192,4.48271965
IMG4332_3,63.21932192,-61.01728035
IMG4333_2,-3.680678081,25.48271965
IMG4334_3,59.01932192,-17.91728035
IMG4335_4,64.61932192,-62.41728035
IMG4336_4,57.81932192,-13.51728035
IMG4337_2,46.31932192,-21.71728035
IMG4338_3,29.01932192,-71.11728035
IMG4339_5,-16.48067808,14.38271965
IMG4340_4,51.11932192,2.68271965
IMG4341_5,53.21932192,-52.91728035
IMG4342_5,72.91932192,-40.41728035
IMG4343_5,-35.08067808,18.78271965
IMG4344_5,86.71932192,-24.31728035
IMG4345_3,43.51932192,0.58271965
IMG4346_3,18.01932192,13.48271965
IMG4347_5,-31.28067808,38.98271965
IMG4348_5,36.11932192,1.88271965
IMG4349_5,0.519321918,28.98271965
IMG4350_2,-145.9806781,88.58271965
IMG4351_1,-125.6806781,44.68271965
IMG4352_4,30.11932192,-77.01728035
IMG4353_3,8.819321918,-68.51728035
IMG4354_3,-2.380678082,-61.71728035
